badge,city,companyField,company_name,job_edu,job_exp,job_name,job_publisher_name,job_publisher_post,job_sec,job_tags,job_url,positionAdvantage,publish_time
4k-8k,西安,"电子商务,O2O",西安亚购信息科技有限公司,大专,1-3年,数据分析员,,,大专,,https://www.lagou.com/jobs/2353221.html,十三薪；五险一金；出国机会；弹性工作,2018-03-06 09:57:39
5k-7k,西安,"O2O,电子商务",陕西司集能源科技有限公司,大专,1-3年,数据分析,,,大专,"大数据,专员,数据挖掘,SPSS",https://www.lagou.com/jobs/4218470.html,"五险一金,餐补,创业公司,加班补助",2018-03-07 11:50:09
3k-6k,西安,"广告营销,企业服务",西安元茂广告文化传播有限公司,大专,1-3年,数据分析,,,大专,,https://www.lagou.com/jobs/4187559.html,"双休,法定节假日,五险,节日福利",2018-03-06 11:45:55
8k-15k,西安,"移动互联网,O2O",途家网网络技术（北京）有限公司,本科,不限,数据分析师-西安J10013,,,本科,,https://www.lagou.com/jobs/4010581.html,"带薪年假,发展空间大",2018-02-24 15:42:24
8k-15k,西安,"移动互联网,电子商务",西安远古信息科技股份有限公司,本科,3-5年,数据分析工程师,,,本科,"中级,大数据,spark,hadoop",https://www.lagou.com/jobs/4189452.html,"大数据,最多5个字,最多5个字,最多5个字",2018-03-05 15:34:08
6k-12k,西安,数据服务,西安美林电子有限责任公司,本科,1-3年,数据分析师,,,本科,,https://www.lagou.com/jobs/1288457.html,五险一金、商业保险、节日福利等等,2018-02-24 08:53:43
4k-6k,西安,其他,西安链家宝业房地产经纪有限公司,本科,1年以下,数据分析专员,,,本科,"SPSS,数据管理",https://www.lagou.com/jobs/3736342.html,"节日福利,周末双休,员工旅游,五险一金",2018-03-01 14:35:52
4k-6k,西安,"移动互联网,O2O",西安链家宝业房地产经纪有限公司雁塔区第一分公司,本科,1-3年,链家网经管专员（偏数据分析类）,,,本科,"商业,业务运营,运营",https://www.lagou.com/jobs/4008056.html,"五险一金,年底双薪,带薪年假,双休",2018-03-06 09:49:03
7k-12k,西安,教育,学大教育西安分公司,本科,不限,教育行业用户研究（偏数据分析）,,,本科,"教育,需求分析,大数据,数据挖掘",https://www.lagou.com/jobs/3810844.html,"发展平台好,行业潜力大",2018-02-26 18:34:22
10k-20k,上海,医疗健康,平安万家医疗投资管理有限责任公司,本科,1-3年,数据分析,,,本科,"专员,运营,大数据,数据挖掘",https://www.lagou.com/jobs/3043505.html,平安子公司，良好的发展平台,2018-03-06 15:56:11
15k-24k,上海,金融,微贷（杭州）金融信息服务有限公司,本科,3-5年,数据分析师,,,本科,"数据挖掘,大数据,BI,SPSS",https://www.lagou.com/jobs/4106365.html,"扁平化,高端办公室,核心部门,丰厚福利",2018-03-07 21:05:22
10k-15k,上海,金融,平安科技（深圳）有限公司,本科,不限,数据分析师（上海）,,,本科,"金融,软件开发,大数据,数据挖掘,建模,机器学习",https://www.lagou.com/jobs/3715491.html,世界500强 带薪年假 节日福利 绩效丰厚,2018-03-08 15:52:25
10k-20k,上海,"金融,数据服务",杭州恩牛网络技术有限公司,本科,1-3年,数据分析（上海）,,,本科,"数据挖掘,SPSS",https://www.lagou.com/jobs/4184711.html,"全员mac,16薪起,六险一金,弹性工作制",2018-03-08 10:34:27
15k-30k,上海,"移动互联网,教育",上海流利说信息技术有限公司,本科,不限,数据分析师,,,本科,"高级,大数据,数据挖掘,R",https://www.lagou.com/jobs/3473754.html,"N+1奖金,硅谷系,私厨三餐,顶尖团队",2018-03-07 16:53:43
8k-15k,上海,"数据服务,企业服务",北京国双科技有限公司,本科,3-5年,数据分析师 (上海),,,本科,"大数据,数据挖掘,SQL",https://www.lagou.com/jobs/3014736.html,大数据上市公司 发展空间大 氛围好,2018-03-06 11:04:07
8k-12k,上海,"移动互联网,金融",上海数禾信息科技有限公司,硕士,不限,数据分析师,,,硕士,"大数据,数据挖掘,SPSS",https://www.lagou.com/jobs/4021708.html,"移动金融,未来金矿,精英团队,助力成长",2018-03-08 10:02:29
10k-20k,上海,"移动互联网,数据服务",深圳市和讯华谷信息技术有限公司,本科,1-3年,数据分析师 (上海),,,本科,"中级,算法,数据挖掘,机器学习,建模",https://www.lagou.com/jobs/3942319.html,"D轮+,14薪+,攻城狮氛围,弹性工作",2018-03-07 21:28:27
6k-12k,上海,金融,广东鸿特普惠信息服务有限公司,本科,1-3年,数据分析岗,,,本科,"金融,数据挖掘,大数据,SPSS,sas",https://www.lagou.com/jobs/3580369.html,"双休,五险一金,年终奖,旅游",2018-03-06 17:18:22
8k-10k,上海,"移动互联网,金融",杭州财米科技有限公司,硕士,1-3年,数据分析师-上海浦东-01151,,,硕士,,https://www.lagou.com/jobs/3882456.html,弹性工作,2018-03-07 16:46:52
10k-12k,上海,"移动互联网,金融",上海海万信息科技股份有限公司,大专,1-3年,数据分析,,,大专,"中级,hadoop,hive,大数据,spark",https://www.lagou.com/jobs/3345573.html,大平台,2018-03-08 19:54:07
30k-45k,上海,电子商务,唯品会（中国）有限公司,本科,5-10年,资深数据分析师（上海）,,,本科,"大数据,BI,商业,业务运营",https://www.lagou.com/jobs/3727773.html,"大平台,好福利,好公司",2018-03-08 15:40:39
7k-12k,上海,"广告营销,文化娱乐",北京爱奇艺科技有限公司,本科,1-3年,游戏-数据分析-上海,,,本科,,https://www.lagou.com/jobs/3633549.html,福利待遇丰厚,2018-03-04 23:50:08
20k-40k,上海,移动互联网,上海阑途信息技术有限公司,本科,5-10年,资深数据分析师,,,本科,"大数据,BI,可视化,业务运营",https://www.lagou.com/jobs/3807239.html,"一年多次调,优秀团队,地铁周边",2018-03-06 18:59:39
15k-30k,上海,电子商务,北京京东世纪贸易有限公司,本科,3-5年,数据分析师,,,本科,"资深,高级,大数据,可视化,业务运营",https://www.lagou.com/jobs/3756557.html,"发展潜力好,福利多,待遇好,新APP",2018-02-24 18:49:20
15k-30k,北京,"移动互联网,文化娱乐",快看世界（北京）科技有限公司,本科,1-3年,数据分析,,,本科,"金融,数据挖掘,用户研究",https://www.lagou.com/jobs/4006595.html,"七险一金,团队氛围好,福利待遇好,公司发展好",2018-03-08 16:42:01
10k-15k,北京,"移动互联网,文化娱乐",北京车之家信息技术有限公司,本科,3-5年,数据分析师,,,本科,"大数据,数据挖掘",https://www.lagou.com/jobs/4225734.html,"绩效奖金,年终奖,带薪年病假,旅游团建",2018-03-08 11:18:48
15k-25k,北京,"移动互联网,教育",北京作业盒子科技有限公司,本科,1-3年,数据分析师,,,本科,"专家,大数据,数据挖掘",https://www.lagou.com/jobs/3638815.html,"扁平化管理,期权,公司氛围好,互联网教育",2018-03-07 19:56:29
10k-20k,北京,"数据服务,企业服务",北京国双科技有限公司,本科,5-10年,数据分析师,,,本科,"媒体,广告营销,高级,大数据,SQL",https://www.lagou.com/jobs/3272255.html,上市公司 六险一金 牛人多,2018-03-06 09:46:26
10k-20k,北京,电子商务,北京京东世纪贸易有限公司,本科,3-5年,数据分析师,,,本科,"SPSS,sas",https://www.lagou.com/jobs/3977483.html,"大平台,有班车,大牛多",2018-03-06 19:11:54
10k-20k,北京,"移动互联网,教育",光合新知（北京）科技有限公司,大专,1-3年,数据分析,,,大专,"高级,中级,运营,产品经理,大数据",https://www.lagou.com/jobs/3983242.html,"免费早午餐,年假15天,指数级增长,数据量大",2018-03-07 22:02:16
13k-20k,北京,"移动互联网,游戏",奇虎360科技有限公司,本科,1-3年,数据分析,,,本科,"大数据,数据挖掘",https://www.lagou.com/jobs/3175648.html,薪资待遇给力，团队氛围融洽,2018-03-05 10:54:06
10k-20k,北京,"移动互联网,文化娱乐",炫一下（北京）科技有限公司,本科,3-5年,数据分析师,,,本科,"专员,大数据,数据挖掘,SPSS",https://www.lagou.com/jobs/4043973.html,超nice的团队 免费早餐,2018-03-06 11:16:20
10k-20k,北京,"移动互联网,教育",上海一起作业信息科技有限公司,本科,1-3年,数据分析,,,本科,"高级,业务运营,大数据,数据挖掘",https://www.lagou.com/jobs/2940908.html,"完善薪酬,完善福利,办公环境佳,与大牛共事",2018-03-07 14:22:20
18k-36k,北京,"移动互联网 ,游戏",腾讯科技(深圳)有限公司,本科,3-5年,23048-数据分析师,,,本科,数据挖掘,https://www.lagou.com/jobs/3413899.html,"大平台,新领域,大咖多",2018-03-08 10:29:26
8k-15k,北京,"广告营销,文化娱乐",北京爱奇艺科技有限公司,本科,1-3年,数据分析师,,,本科,,https://www.lagou.com/jobs/3807494.html,六险一金 12天年假 补助,2018-03-06 23:50:10
15k-30k,北京,"移动互联网,社交网络",北京默契破冰科技有限公司,本科,3-5年,数据分析师,,,本科,"游戏,社交,文化娱乐,大数据,数据挖掘",https://www.lagou.com/jobs/3569199.html,"六险一金,弹性不打卡,免费午餐,季度旅游",2018-03-08 14:27:53
15k-30k,北京,"移动互联网,金融",包头市包银消费金融股份有限公司,本科,1-3年,数据分析,,,本科,"金融,行业研究,数据挖掘,sas",https://www.lagou.com/jobs/2966105.html,"六险一金,定期团建,节日福利",2018-03-01 09:18:51
10k-20k,北京,"移动互联网,O2O",北京三快在线科技有限公司,本科,1-3年,数据分析师,,,本科,"BI,业务运营,SPSS,sas,R",https://www.lagou.com/jobs/3798453.html,"六险一金,发展好,团队氛围赞",2018-02-26 10:41:54
10k-20k,北京,"移动互联网,金融",北京新工场投资顾问有限公司,本科,1-3年,数据分析师,,,本科,,https://www.lagou.com/jobs/3803867.html,互联网金融 期权激励 六险一金 优秀团队,2018-03-08 11:20:05
10k-20k,杭州,"移动互联网,金融",杭州捕翼网络科技有限公司,本科,3-5年,数据分析师,,,本科,数据挖掘,https://www.lagou.com/jobs/3988269.html,"双休,五险一金,弹性时间,环境舒适",2018-03-07 16:49:28
8k-15k,杭州,"移动互联网,社交网络",杭州点望科技有限公司,本科,3-5年,数据分析,,,本科,,https://www.lagou.com/jobs/3822281.html,"B轮机会,年底多薪,免费体检,扁平管理",2018-03-05 10:56:54
15k-30k,杭州,"金融,数据服务",杭州恩牛网络技术有限公司,硕士,3-5年,数据分析师,,,硕士,"金融,大数据",https://www.lagou.com/jobs/4224931.html,"16薪,数据驱动,成长空间",2018-03-08 10:17:44
6k-10k,杭州,"移动互联网,O2O",杭州大搜车汽车服务有限公司,本科,1-3年,数据分析师,,,本科,"数据挖掘,BI,SPSS",https://www.lagou.com/jobs/1048957.html,期权股份 平台好,2018-03-08 09:50:41
8k-15k,杭州,金融,微贷（杭州）金融信息服务有限公司,本科,不限,数据分析,,,本科,"金融,汽车,sas",https://www.lagou.com/jobs/4186812.html,"互金大平台,超赞年终奖,超耐撕团队,晋升空间大",2018-03-07 09:44:53
10k-20k,杭州,O2O,点我达网络科技有限公司,本科,1-3年,数据分析师,,,本科,"物流,商业,业务运营,SPSS,sas",https://www.lagou.com/jobs/3711948.html,阿里系，15薪，技术领先,2018-03-08 14:13:21
1k-2k,杭州,"移动互联网,金融",杭州财米科技有限公司,本科,不限,数据分析实习生 (MJ000787),,,本科,,https://www.lagou.com/jobs/4225333.html,"弹性工作,公司平台,节假日福利,晋升空间",2018-03-08 10:49:57
15k-30k,杭州,"游戏,文化娱乐",杭州顺网科技股份有限公司,本科,3-5年,数据分析师（大数据方向）,,,本科,"广告营销,数据挖掘",https://www.lagou.com/jobs/4126249.html,"上市公司,发展前景大,大数据方向,用户画像",2018-02-22 13:50:02
15k-30k,杭州,移动互联网,杭州铜板街网络科技有限公司,本科,3-5年,数据分析师,,,本科,"金融,SPSS,sas",https://www.lagou.com/jobs/3917751.html,股票期权；年终奖金；弹性工作,2018-03-01 10:54:47
15k-26k,杭州,"移动互联网,电子商务",杭州一骑轻尘信息技术有限公司,本科,1-3年,资深数据分析师,,,本科,"高级,BI,大数据,数据挖掘,SPSS",https://www.lagou.com/jobs/3949310.html,"双休,五险一金,餐补,年终奖",2018-03-08 10:08:18
22k-35k,杭州,移动互联网,杭州群核信息技术有限公司,本科,3-5年,数据分析专家,,,本科,"大数据,数据挖掘",https://www.lagou.com/jobs/3990582.html,期权激励、年度旅游、弹性工作、氛围欢乐,2018-03-08 18:23:59
15k-30k,杭州,"移动互联网,教育",杭州铭师堂教育科技发展有限公司,本科,3-5年,资深数据分析师,,,本科,,https://www.lagou.com/jobs/3108932.html,"自主盈利,团队有大牛,团队氛围赞",2018-03-07 18:37:38
10k-15k,杭州,"移动互联网,数据服务",浙江执御信息技术有限公司,本科,3-5年,数据分析师,,,本科,"移动互联网,大数据,数据挖掘,SPSS",https://www.lagou.com/jobs/3707764.html,"发展空间,团队氛围,个人成长,海量数据",2018-03-08 11:22:22
8k-16k,杭州,"移动互联网,招聘",杭州弧途科技有限公司,本科,3-5年,数据分析师,,,本科,"本地生活,大数据,数据挖掘,数据监控",https://www.lagou.com/jobs/4155587.html,"晋升平台,发展空间,五险一金,周末双休",2018-03-08 10:31:36
10k-20k,杭州,移动互联网,杭州兑吧网络科技有限公司,本科,3-5年,数据分析师,,,本科,"BI,商业,大数据,数据挖掘",https://www.lagou.com/jobs/4021893.html,"发展空间大,数据量级高,全员出国游,零食下午茶",2018-03-08 16:45:49
10k-20k,深圳,"移动互联网,金融",岩心科技（深圳）有限公司,本科,1-3年,数据分析师,,,本科,"电商,大数据,BI,数据挖掘,数据管理",https://www.lagou.com/jobs/3233747.html,"项目前景好,成长空间大,团队牛人多,期权激励",2018-03-08 13:18:29
15k-30k,深圳,"移动互联网 ,游戏",腾讯科技(深圳)有限公司,本科,3-5年,数据分析师,,,本科,"广告营销,数据挖掘,广告投放",https://www.lagou.com/jobs/4195706.html,"大平台,鹅厂福利",2018-03-08 10:38:31
8k-15k,深圳,"移动互联网,数据服务",深圳市前海亿车科技有限公司,本科,1-3年,停车场评估/数据分析,,,本科,"大数据,数据挖掘,SPSS",https://www.lagou.com/jobs/4164796.html,"行业独角兽,发展空间大,福利待遇好",2018-03-08 10:26:56
15k-30k,深圳,"移动互联网,金融",深圳市随手科技有限公司,本科,5-10年,数据分析师,,,本科,"金融,互联网金融,大数据",https://www.lagou.com/jobs/2518090.html,金融大数据，携2.6亿用户寻找敲钟小伙伴,2018-03-05 10:47:14
12k-18k,深圳,移动互联网,深圳平安讯科技术有限公司,本科,1-3年,数据分析师,,,本科,"广告营销,大数据,数据挖掘,SPSS,用户研究",https://www.lagou.com/jobs/3629317.html,"领导好,福利好,技术大牛",2018-03-08 09:20:50
25k-50k,深圳,电子商务,深圳虾皮信息科技有限公司,本科,5-10年,数据分析师/高级数据分析师,,,本科,"数据挖掘,大数据",https://www.lagou.com/jobs/4182658.html,"新加坡公司,东南亚市场,15天年假,大牛多",2018-03-08 11:10:09
10k-20k,深圳,"移动互联网,数据服务",深圳市和讯华谷信息技术有限公司,本科,1-3年,极光调研 - 数据分析师,,,本科,"中级,算法,数据挖掘,机器学习,大数据",https://www.lagou.com/jobs/4084200.html,"业界第一,14薪+,牛逼团队,D轮+",2018-03-07 21:28:28
15k-30k,深圳,移动互联网,广东欧珀移动通信有限公司,本科,1-3年,数据分析师,,,本科,"大数据,数据挖掘,BI",https://www.lagou.com/jobs/3868326.html,核心事业群 千万级日活 氛围好 组织扁平,2018-03-07 16:43:59
15k-20k,深圳,金融,招商银行股份有限公司,本科,1-3年,数据分析及数据产品经理岗,,,本科,,https://www.lagou.com/jobs/4215581.html,发展空间大,2018-03-06 20:27:23
15k-25k,深圳,金融,深圳市佰仟金融服务有限公司,本科,5-10年,数据分析师,,,本科,"大数据,数据挖掘",https://www.lagou.com/jobs/4228368.html,"发展机会多,部门牛人多",2018-03-08 16:05:11
15k-30k,深圳,金融,中国平安人寿保险股份有限公司,本科,3-5年,数据分析师,,,本科,"app,运营,产品,用户,活动",https://www.lagou.com/jobs/4227237.html,大平台，互联网保险发展引擎，办公环境一流,2018-03-08 14:26:47
18k-28k,深圳,金融,招联消费金融有限公司,本科,3-5年,数据分析工程师,,,本科,大数据,https://www.lagou.com/jobs/422119.html,初创公司，朝阳行业，广阔的发展空间,2018-03-08 20:29:18
8k-15k,深圳,移动互联网,深圳市博悦科创科技有限公司,本科,1-3年,急聘数据分析,,,本科,"大数据,数据挖掘,建模",https://www.lagou.com/jobs/4001717.html,福利待遇好，发展空间大,2018-03-08 11:08:33
15k-20k,深圳,"移动互联网,电子商务",顺丰科技有限公司,本科,3-5年,00386-数据分析经理,,,本科,,https://www.lagou.com/jobs/4007720.html,核心产品,2018-03-07 09:13:58
15k-25k,深圳,"移动互联网,硬件",深圳闻善科技有限公司,本科,1-3年,数据分析师,,,本科,"游戏,数据挖掘,建模,数值",https://www.lagou.com/jobs/4177468.html,福利多,2018-03-08 16:05:22
6k-12k,上海,"金融,数据服务",杭州恩牛网络技术有限公司,本科,1-3年,数据分析（上海）,,,本科,"金融,运营,SPSS",https://www.lagou.com/jobs/4196530.html,"16薪起,六险一金,弹性工作,全员mac",2018-03-03 11:09:49
6k-12k,上海,"移动互联网,金融",上海数禾信息科技有限公司,本科,1-3年,数据分析师,,,本科,,https://www.lagou.com/jobs/3433869.html,"移动金融,未来金矿,精英团队,助力成长",2018-03-08 10:02:28
2k-3k,上海,"移动互联网,金融",杭州财米科技有限公司,不限,不限,数据分析师（实习生）,,,不限,大数据,https://www.lagou.com/jobs/947128.html,弹性工作，大牛分享，早餐下午茶晚餐,2018-03-07 16:46:59
15k-30k,上海,"移动互联网,其他",哦加哦网络科技（上海）有限公司,本科,1-3年,数据分析,,,本科,"商业,数据挖掘,sas",https://www.lagou.com/jobs/4139378.html,快速发展,2018-03-08 15:49:52
15k-30k,上海,"移动互联网,金融",晋松（上海）网络信息技术有限公司,本科,3-5年,数据分析,,,本科,"高级,hadoop,数据挖掘,大数据",https://www.lagou.com/jobs/4120890.html,发展空间大,2018-03-08 09:31:42
10k-20k,上海,"数据服务,企业服务",北京国双科技有限公司,本科,5-10年,高级数据分析师,,,本科,"金融,媒体,大数据,数据挖掘,策略",https://www.lagou.com/jobs/4018476.html,上市公司 前景佳 氛围好 牛人多,2018-03-07 13:37:38
8k-10k,上海,"移动互联网,游戏",上海木七七网络科技有限公司,本科,1-3年,数据分析,,,本科,"游戏,专员,运营,游戏策划,数值",https://www.lagou.com/jobs/4181502.html,"Excel,SQL,分析",2018-03-08 19:34:48
15k-25k,上海,"企业服务,数据服务",华院数据技术（上海）有限公司,硕士,3-5年,大数据分析师,,,硕士,"讲师,数据挖掘,SPSS",https://www.lagou.com/jobs/2708205.html,"发展空间大,六险一金,10天年假,各类补助",2018-03-07 17:59:52
8k-15k,上海,金融,上海厚本金融信息服务有限公司,硕士,1-3年,数据分析师,,,硕士,"金融,SPSS,R,matlab,VBA",https://www.lagou.com/jobs/3882713.html,"五险一金,交通补贴,通讯补贴,餐补",2018-03-08 09:12:59
15k-30k,上海,"移动互联网,O2O",北京三快在线科技有限公司,本科,3-5年,高级数据分析,,,本科,"数据挖掘,SPSS,sas",https://www.lagou.com/jobs/3753098.html,"五险一金,做五休二,补充医疗,年度体检",2018-03-07 09:49:15
15k-25k,上海,"金融,移动互联网",上海鱼耀金融信息服务有限公司,本科,3-5年,数据分析,,,本科,"金融,支付,可视化,风控,量化",https://www.lagou.com/jobs/3347946.html,"五险一金,年终双薪",2018-03-08 18:31:13
12k-15k,上海,"数据服务,广告营销",电通安吉斯（上海）投资有限公司,本科,1-3年,数据分析,,,本科,"高级,数据挖掘",https://www.lagou.com/jobs/4213152.html,团队融洽,2018-03-06 16:28:19
15k-29k,上海,电子商务,上海宝尊电子商务有限公司,本科,3-5年,数据分析师,,,本科,"电商,高级,数据挖掘",https://www.lagou.com/jobs/3877702.html,"福利好,领导好,环境好,氛围好",2018-03-08 13:45:43
15k-25k,上海,金融,上海拍拍贷金融信息服务有限公司,不限,不限,数据分析专家,,,不限,资深,https://www.lagou.com/jobs/4229911.html,智慧金融,2018-03-08 18:51:06
15k-30k,上海,电子商务,上海中通吉网络技术有限公司,大专,5-10年,数据分析师,,,大专,"资深,数据挖掘",https://www.lagou.com/jobs/4196282.html,"扁平化,大数据,五险一金",2018-03-08 09:11:01
15k-25k,北京,"移动互联网,文化娱乐",北京车之家信息技术有限公司,本科,3-5年,数据分析师,,,本科,"汽车,行业研究,市场分析",https://www.lagou.com/jobs/3979904.html,福利待遇好,2018-03-08 11:23:54
10k-20k,北京,"移动互联网,文化娱乐",炫一下（北京）科技有限公司,本科,3-5年,数据分析,,,本科,"移动互联网,高级,专员,商业,业务运营",https://www.lagou.com/jobs/3936507.html,业务发展快，成长空间大,2018-03-05 13:41:05
15k-30k,北京,"移动互联网,旅游",北京蚂蜂窝网络科技有限公司,本科,3-5年,数据分析师,,,本科,"大数据,数据挖掘,SPSS",https://www.lagou.com/jobs/2853840.html,"海量数据,核心业务",2018-03-07 17:56:57
18k-35k,北京,"移动互联网,游戏",奇虎360科技有限公司,本科,3-5年,数据分析师,,,本科,"金融,BI,可视化,业务运营,growth",https://www.lagou.com/jobs/2955856.html,平台大、发展好，业务发展迅速,2018-03-07 12:16:54
15k-25k,北京,"移动互联网,金融",银客未来科技（北京）有限公司,本科,1-3年,数据分析师,,,本科,"大数据,数据挖掘",https://www.lagou.com/jobs/3463098.html,"七险一金,绩效奖金,员工福利,弹性工作",2018-03-06 18:56:19
20k-40k,北京,"移动互联网,O2O",北京三快在线科技有限公司,本科,3-5年,数据分析师,,,本科,"资深,高级,专员,数据挖掘,BI",https://www.lagou.com/jobs/3993990.html,"职业前景好,工作环境好",2018-03-06 17:38:21
20K-40K,北京,"移动互联网,教育",北京作业盒子科技有限公司,本科,3-5年,数据分析师,,,本科,"大数据,数据挖掘",https://www.lagou.com/jobs/3925953.html,技术,2018-03-05 11:38:06
12k-20k,北京,移动互联网,掌阅科技股份有限公司,本科,3-5年,数据分析师,,,本科,"大数据,SPSS",https://www.lagou.com/jobs/3761779.html,"上市公司,行业领先",2018-03-05 11:25:42
10k-20k,北京,电子商务,北京京东世纪贸易有限公司,本科,3-5年,数据分析师,,,本科,电商,https://www.lagou.com/jobs/3836944.html,"福利好,大平台",2018-03-08 09:25:46
25k-50k,北京,"移动互联网,O2O",链家网（北京）科技有限公司,本科,不限,数据分析师 - 增长方向,,,本科,"房产服务,growth hacking,大数据,数据挖掘",https://www.lagou.com/jobs/4080405.html,数据驱动增长，挑战大，弹性工作,2018-03-08 12:48:22
15k-20k,北京,移动互联网,北京爱声声科技有限公司,本科,3-5年,数据分析师,,,本科,"数据挖掘,SPSS",https://www.lagou.com/jobs/4056939.html,互联网前沿,2018-03-08 10:58:36
10k-15k,北京,"移动互联网,金融",杭州财米科技有限公司,不限,1-3年,数据分析师 (MJ000766),,,不限,,https://www.lagou.com/jobs/4155069.html,五险一金,2018-03-07 16:46:52
10k-20k,北京,"金融,移动互联网",中信百信银行股份有限公司,本科,1-3年,数据分析师,,,本科,数据挖掘,https://www.lagou.com/jobs/3706684.html,"平台空间,银行福利,大牛多,股权期权",2018-03-05 15:18:01
25k-35k,北京,移动互联网,北京趣拿软件科技有限公司,本科,3-5年,数据分析工程师-专车事业部,,,本科,"高级,大数据,数据挖掘,算法",https://www.lagou.com/jobs/4227618.html,发展前景广阔，福利待遇优厚，工作环境优良,2018-03-08 14:58:21
6k-12k,北京,"广告营销,文化娱乐",北京爱奇艺科技有限公司,本科,1-3年,数据分析师,,,本科,"广告营销,大数据,统计,SPSS",https://www.lagou.com/jobs/3828899.html,福利待遇好高，职业发展前景好,2018-03-05 17:24:34
15k-25k,杭州,"金融,数据服务",杭州恩牛网络技术有限公司,本科,3-5年,数据分析师,,,本科,"数据挖掘,SPSS",https://www.lagou.com/jobs/3166155.html,"全员MAC,弹性工作制,餐饮补贴,六险一金",2018-03-08 10:34:28
8K-16K,杭州,"移动互联网,O2O",杭州大搜车汽车服务有限公司,不限,不限,数据分析师,,,不限,"大数据,BI,业务运营",https://www.lagou.com/jobs/4196384.html,E轮融资，独角兽公司，未来有很大发展空间,2018-03-03 10:20:36
20k-35k,杭州,O2O,点我达网络科技有限公司,本科,3-5年,数据分析主管,,,本科,"大数据,BI,产品经理",https://www.lagou.com/jobs/4104671.html,阿里系 15-18薪 扁平化管理 出国游,2018-03-08 14:13:20
10K-15K,杭州,"移动互联网,数据服务",浙江执御信息技术有限公司,本科,1-3年,数据分析,,,本科,"电商,BI,数据挖掘,SQL,SPSS",https://www.lagou.com/jobs/3193728.html,一个有梦想有挑战的公司，赶紧加入吧,2018-03-08 10:18:00
2k-4k,杭州,"移动互联网,金融",杭州财米科技有限公司,本科,不限,数据分析实习生,,,本科,大数据,https://www.lagou.com/jobs/1782499.html,弹性工作专业分享早餐下午茶晚餐,2018-03-07 16:46:53
12k-24k,杭州,"企业服务,数据服务",杭州观数信息科技有限公司,本科,3-5年,数据分析师,,,本科,"金融,资深,大数据,数据挖掘,BI",https://www.lagou.com/jobs/3045803.html,"成长空间,牛人团队,独挡一面,期权激励",2018-03-08 19:24:23
16k-32k,杭州,移动互联网,北京嘀嘀无限科技发展有限公司,本科,3-5年,数据分析师,,,本科,"算法,数据挖掘,机器学习,大数据",https://www.lagou.com/jobs/4160546.html,"大平台,六险一金,薪资待遇,发展空间",2018-03-08 22:37:26
